S. No,University,Programme,Year of Entry,Decision Date,Decision,CGPA,GRE,TOEFL,Work Experience,Research Experience,Research Papers,Submitted Portfolio,Student Status,Class Size,THE Rank,QS Rank,Application Date
1,Georgia Tech,MS HCI,2021,17-Mar-21,Rejected,3.8,NA,117,1,Yes,2,Yes,I,52,38,70,02-Jan-21
2,Georgia Tech,MS HCI,2021,17-Mar-21,Rejected,3.5,NA,112,4,Yes,6,Yes,I,52,38,70,15-Jan-21
3,Georgia Tech,MS HCI,2021,17-Mar-21,Rejected,3.2,NA,NA,2,Yes,0,Yes,A,52,38,70,01-Feb-21
4,Georgia Tech,MS HCI,2021,17-Mar-21,Rejected,2.7,320,113,1.5,No,0,Yes,I,52,38,70,01-Feb-21
5,Georgia Tech,MS HCI,2021,17-Mar-21,Rejected,3.6,320,NA,1,No,0,Yes,U,52,38,70,01-Feb-21
6,Georgia Tech,MS HCI,2021,17-Mar-21,Rejected,3.4,NA,117,0.5,No,0,Yes,U,52,38,70,01-Feb-21
7,Georgia Tech,MS HCI,2021,17-Mar-21,Rejected,3.6,329,NA,0.5,No,0,Yes,A,52,38,70,01-Feb-21
8,Georgia Tech,MS HCI,2021,17-Mar-21,Rejected,3.15,NA,109,2,Yes,1,Yes,I,52,38,70,31-Jan-21
9,Georgia Tech,MS HCI,2021,15-Mar-21,Accepted,3.8,NA,NA,1,No,0,Yes,A,52,38,70,27-Jan-21
10,Georgia Tech,MS HCI,2021,17-Mar-21,Rejected,3,NA,101,2,Yes,2,Yes,I,52,38,70,27-Jan-21
11,Georgia Tech,MS HCI,2021,15-Mar-21,Accepted,3.96,319,NA,2,Yes,2,No,A,52,38,70,31-Jan-21
12,Georgia Tech,MS HCI,2021,17-Mar-21,Rejected,3.59,NA,NA,1,Yes,0,Yes,A,52,38,70,31-Jan-21
13,Georgia Tech,MS HCI,2021,17-Mar-21,Rejected,3.8,NA,108,0.5,Yes,1,Yes,I,52,38,70,01-Feb-21
14,Georgia Tech,MS HCI,2021,17-Mar-21,Rejected,3.86,NA,NA,4,Yes,0,Yes,A,52,38,70,01-Feb-21
15,Georgia Tech,MS HCI,2021,17-Mar-21,Rejected,3.6,NA,NA,2,Yes,0,Yes,U,52,38,70,01-Feb-21
16,Georgia Tech,MS HCI,2021,17-Mar-21,Rejected,3.3,NA,114,3.5,Yes,0,Yes,I,52,38,70,30-Jan-21
17,Georgia Tech,MS HCI,2021,17-Mar-21,Rejected,3.6,NA,NA,3.5,Yes,1,No,A,52,38,70,01-Feb-21
18,Georgia Tech,MS HCI,2021,15-Mar-21,Accepted,3.85,NA,NA,1,Yes,0,Yes,A,52,38,70,03-Jan-21
19,Georgia Tech,MS HCI,2021,15-Mar-21,Accepted,3.5,NA,NA,0,No,0,Yes,A,52,38,70,03-Jan-21
20,Georgia Tech,MS HCI,2021,15-Mar-21,Accepted,3.3,NA,NA,1,No,0,Yes,A,52,38,70,12-Jan-20
21,Georgia Tech,MS HCI,2021,15-Mar-21,Accepted,3.9,NA,110,0.5,No,0,Yes,I,52,38,70,03-Jan-21
22,Georgia Tech,MS HCI,2020,07-Mar-20,Rejected,3.6,NA,NA,0,No,0,No,A,52,38,70,12-Jan-20
23,Georgia Tech,MS HCI,2020,04-Mar-20,Rejected,3.7,324,117,0.5,Yes,1,Yes,I,52,38,70,26-Dec-19
24,Georgia Tech,MS HCI,2020,04-Mar-20,Rejected,3.7,329,NA,0,No,0,No,A,52,38,70,13-Jan-20
25,Georgia Tech,MS HCI,2020,04-Mar-20,Rejected,3.6,325,110,1,Yes,0,Yes,I,52,38,70,02-Jan-20
26,Georgia Tech,MS HCI,2020,20-Feb-20,Accepted,3.6,320,NA,3,Yes,1,No,A,52,38,70,29-Dec-19
27,Georgia Tech,MS HCI,2020,20-Feb-20,Accepted,3.4,321,NA,0,No,0,No,A,52,38,70,02-Jan-20
28,Georgia Tech,MS HCI,2020,20-Feb-20,Accepted,3.46,323,107,1,No,0,No,I,52,38,70,10-Jan-20
29,Georgia Tech,MS HCI,2020,20-Feb-20,Accepted,3.8,321,104,3,No,0,Yes,I,52,38,70,04-Jan-20
30,Georgia Tech,MS HCI,2019,23-Feb-19,Accepted,3.27,324,NA,2,Yes,1,Yes,A,52,38,70,10-Jan-19
31,Georgia Tech,MS HCI,2019,23-Feb-19,Accepted,3.8,323,113,2,Yes,1,Yes,I,52,38,70,29-12-2018
32,Georgia Tech,MS HCI,2019,23-Feb-19,Accepted,3.5,307,101,5,Yes,1,Yes,I,52,38,70,01-01-2018
33,University of Washington,MS HCDE,2021,06-Mar-21,Accepted,3.8,NA,117,1,Yes,2,No,I,45,29,72,29-Dec-20
34,University of Washington,MS HCDE,2021,06-Mar-21,Rejected,3.5,NA,112,4,Yes,6,Yes,I,122,29,72,15-Jan-21
35,University of Washington,MS HCDE,2021,06-Mar-21,Rejected,2.8,316,112,3.5,No,0,No,I,122,29,72,10-Jan-21
36,University of Washington,MS HCDE,2021,06-Mar-21,Accepted,3.7,329,NA,3,Yes,0,No,U,122,29,72,15-Jan-21
37,University of Washington,MHCID,2021,06-Mar-21,Rejected,3.6,NA,NA,5.5,No,0,Yes,I,30,29,72,01-Jan-21
38,University of Washington,MS HCDE,2021,06-Mar-21,Rejected,3.4,NA,112,0,No,0,No,I,122,29,72,15-Jan-21
39,University of Washington,MS HCDE,2021,05-Mar-21,Rejected,3.7,NA,NA,0,No,0,No,U,122,29,72,14-Jan-21
40,University of Washington,MHCID,2021,05-Mar-21,Rejected,3.7,NA,NA,0,No,0,No,U,30,29,72,14-Jan-21
42,University of Washington,MS HCDE,2021,06-Mar-21,Accepted,3.4,NA,117,0.5,No,0,Yes,U,122,29,72,15-Jan-21
43,University of Washington,MHCID,2021,12-Mar-21,Rejected,3.4,325,117,0.5,No,0,Yes,U,30,29,72,15-Jan-21
44,University of Washington,MS HCDE,2021,06-Mar-21,Rejected,3.8,NA,NA,0,No,0,Yes,U,122,29,72,15-Jan-21
45,University of Washington,MHCID,2021,12-Mar-21,Rejected,3.6,NA,105,1,No,0,Yes,A,30,29,72,14-Jan-21
46,University of Washington,MS HCDE,2021,06-Mar-21,Rejected,2.7,320,113,1.5,No,0,Yes,I,122,29,72,15-Jan-21
47,University of Washington,MS HCDE,2021,06-Mar-21,Rejected,3.6,NA,NA,1,No,0,No,U,122,29,72,15-Jan-21
48,University of Washington,MHCID,2021,06-Mar-21,Rejected,3.6,NA,NA,1,No,0,Yes,U,30,29,72,15-Jan-21
49,University of Washington,MS HCDE,2021,06-Mar-21,Rejected,3.9,NA,NA,1,No,0,Yes,I,122,29,72,15-Jan-21
50,University of Washington,MS HCDE,2021,06-Mar-21,Accepted,3.8,NA,NA,5,No,0,Yes,I,122,29,72,13-Nov-20
51,University of Washington,MHCID,2021,06-Mar-21,Rejected,3.8,NA,NA,5,No,0,Yes,I,30,29,72,10-Nov-20
52,University of Washington,MS HCDE,2021,05-Mar-21,Rejected,3.5,NA,NA,1,No,0,No,U,122,29,72,15-Jan-21
53,University of Washington,MHCID,2021,06-Mar-21,Rejected,3.5,NA,NA,1,No,0,Yes,U,30,29,72,15-Jan-21
54,University of Washington,MS HCDE,2021,05-Mar-21,Rejected,3.85,335,114,2,No,0,Yes,I,122,29,72,15-Jan-21
55,University of Washington,MHCID,2021,05-Mar-21,Rejected,3.5,NA,106,4,No,0,Yes,I,30,29,72,15-Jan-21
56,University of Washington,MS HCDE,2021,05-Mar-21,Rejected,3.5,NA,106,4,No,0,No,I,122,29,72,15-Jan-21
57,University of Washington,MS HCDE,2021,05-Mar-21,Accepted,3.98,NA,NA,3,Yes,0,Yes,A,122,29,72,15-Jan-21
58,University of Washington,MHCID,2021,05-Mar-21,Rejected,3.22,325,NA,2,Yes,0,Yes,A,30,29,72,15-Jan-21
59,University of Washington,MS HCDE,2021,06-Mar-21,Accepted,3.82,325,115,2,Yes,1,Yes,U,122,29,72,15-Jan-21
60,University of Washington,MHCID,2021,05-Mar-21,Rejected,3.82,325,115,2,Yes,1,Yes,U,30,29,72,15-Jan-21
61,University of Washington,MS HCDE,2021,06-Mar-21,Accepted,3.62,NA,NA,0,Yes,0,Yes,A,122,29,72,15-Jan-21
62,University of Washington,MHCID,2021,05-Mar-21,Rejected,3.62,NA,NA,0,Yes,0,Yes,A,30,29,72,16-Jan-21
63,University of Washington,MS HCDE,2021,05-Mar-21,Rejected,3.58,NA,NA,2,No,0,Yes,U,122,29,72,19-Oct-21
64,University of Washington,MS HCDE,2021,06-Mar-21,Accepted,3.8,330,NA,0.5,Yes,2,Yes,I,122,29,72,15-Jan-21
65,University of Washington,MHCID,2021,12-Mar-21,Rejected,3.59,NA,NA,1,Yes,0,Yes,A,30,29,72,15-Jan-21
66,University of Washington,MHCID,2021,12-Mar-21,Rejected,3.9,NA,NA,1,Yes,0,No,A,30,29,72,15-Jan-21
67,University of Washington,MHCID,2021,12-Mar-21,Rejected,3.5,NA,NA,0,No,0,Yes,A,30,29,72,15-Jan-21
68,University of Washington,MS HCDE,2021,06-Mar-21,Accepted,3.3,NA,114,3.5,Yes,0,Yes,I,122,29,72,14-Jan-21
70,University of Washington,MHCID,2021,12-Mar-21,Rejected,3.7,NA,NA,3,No,0,Yes,I,30,29,72,06-Nov-21
71,University of Washington,MHCID,2021,12-Mar-21,Rejected,3.3,312,108,0,No,0,Yes,I,30,29,72,15-Nov-20
72,University of Washington,MS HCDE,2021,12-Mar-21,Rejected,3.3,312,108,0,No,0,Yes,I,122,29,72,15-Nov-20
73,University of Washington,MS HCDE,2021,05-Mar,Accepted,3,NA,NA,2.5,Yes,0,Yes,U,122,29,72,15-Jan-21
74,University of Washington,MHCID,2021,12-Mar-21,Rejected,3.5,309,86,6,No,0,Yes,I,30,29,72,15-Jan-21
75,University of Washington,MHCID,2021,12-Mar-21,Rejected,3.3,NA,110,5,Yes,0,Yes,I,30,29,72,25-Nov-20
76,University of Washington,MHCID,2021,12-Mar-21,Rejected,3.7,NA,110,3,No,0,Yes,I,30,29,72,
77,University of Washington,MHCID,2021,12-Mar-21,Accepted,3.6,314,114,4,Yes,1,Yes,I,30,29,72,
78,University of Washington,MHCID,2021,12-Mar-21,Accepted,3.8,321,115,2,Yes,0,Yes,I,30,29,72,
79,University of Washington,MHCID,2020,06-Mar-20,Rejected,3,300,115,0,No,0,Yes,I,30,29,72,
80,University of Washington,MS HCDE,2020,06-Mar-20,Rejected,3.8,330,116,3,Yes,0,Yes,I,122,29,72,
81,University of Washington,MHCID,2020,14-Mar-20,Accepted,3.6,329,112,0,Yes,0,No,I,30,29,72,
82,University of Washington,MS HCDE,2020,14-Mar-20,Accepted,3.3,323,110,2,Yes,0,No,I,122,29,72,
83,University of Washington,MS HCDE,2020,14-Mar-20,Rejected,3.5,NA,NA,2,Yes,1,Yes,A,122,29,72,
84,University of Washington,MHCID,2020,14-Mar-20,Accepted,3.5,NA,NA,2,Yes,1,Yes,A,30,29,72,
85,University of Washington,MS HCDE,2020,14-Mar-20,Accepted,3.6,NA,NA,2,No,0,Yes,U,122,29,72,
86,University of Washington,MHCID,2020,14-Mar-20,Accepted,3.4,NA,NA,1,Yes,0,Yes,U,30,29,72,
87,University of Washington,MS HCDE,2020,14-Mar-20,Accepted,3.9,NA,NA,1,Yes,0,Yes,A,122,29,72,
88,University of Washington,MHCID,2020,14-Mar-20,Rejected,3.7,NA,NA,0,No,0,No,I,30,29,72,
89,University of Washington,MS HCDE,2020,14-Mar-20,Rejected,3.93,322,NA,0,Yes,0,Yes,A,122,29,72,
90,University of Michigan,MSI,2021,18-Mar-21,Accepted,3.5,NA,NA,3,No,0,Yes,A,450,22,21,15-Jan-21
91,University of Michigan,MSI,2021,18-Mar-21,Accepted,3.6,NA,105,1,No,0,Yes,A,450,22,21,14-Jan-21
92,University of Michigan,MSI,2021,18-Mar-21,Accepted,3.6,NA,NA,1,No,0,Yes,A,450,22,21,15-Jan-21
93,University of Michigan,MSI,2021,18-Mar-21,Accepted,3,332,110,1.5,No,0,Yes,I,450,22,21,15-Jan-21
94,University of Michigan,MSI,2021,18-Mar-21,Accepted,3.8,314,108,0.5,Yes,1,Yes,I,450,22,21,14-Jan-21
95,University of Michigan,MSI,2021,23-Apr-21,Accepted,3.7,NA,99,1,No,0,Yes,I,450,22,21,15-Jan-21
96,University of Michigan,MSI,2021,02-Apr-21,Accepted,3.7,NA,NA,1.5,Yes,2,Yes,I,450,22,21,15th Jan 2021
97,University of Michigan,MSI,2021,02-Apr-21,Accepted,3.5,309,86,5,No,0,Yes,I,450,22,21,15-Jan-21
98,University of Michigan,MSI,2021,23-Apr-21,Accepted,3.7,NA,NA,1,No,0,Yes,A,450,22,21,15-Jan-21
99,University of Michigan,MSI,2021,02-Apr-21,Accepted,3.7,NA,NA,0,No,0,No,U,450,22,21,
100,University of Michigan,MSI,2020,25-Mar-20,Accepted,3.5,310,112,3,No,0,No,I,450,22,21,
101,University of Michigan,MSI,2020,17-May-20,Rejected,3,NA,104,2,No,0,No,I,450,22,21,
102,University of Michigan,MSI,2020,23-Mar-20,Accepted,3.7,NA,NA,0,Yes,0,No,A,450,22,21,
103,University of Michigan,MSI,2020,23-Mar-20,Accepted,3.4,NA,NA,1,Yes,0,Yes,U,450,22,21,
104,University of Michigan,MSI,2020,23-Mar-20,Accepted,3.86,NA,113,2,Yes,1,Yes,I,450,22,21,
105,University of Michigan,MSI,2020,23-Mar-20,Accepted,3.4,NA,NA,0,No,0,No,A,450,22,21,
106,University of Michigan,MSI,2020,17-May-20,Rejected,3.8,319,110,1,Yes,0,Yes,I,450,22,21,
107,University of Michigan,MSI,2019,25-Mar-19,Rejected,3.5,332,116,0.5,Yes,0,No,I,450,22,21,
108,University of Texas Austin,MSIS,2021,13-Apr-21,Rejected,3.5,NA,NA,3,No,0,Yes,A,50,31,67,25-Jan-21
109,University of Texas Austin,MSIS,2021,31-Mar-21,Accepted,3.6,NA,105,1,No,1,Yes,A,50,31,67,29-Jan-21
110,University of Texas Austin,MSIS,2021,13-Apr-21,Rejected,3,NA,99,2.5,No,0,Yes,I,50,31,67,31-Jan-21
111,University of Texas Austin,MSIS,2021,31-Mar-21,Accepted,3.3,314,114,3.5,Yes,1,Yes,I,50,31,67,30-Jan-21
112,University of Texas Austin,MSIS,2021,13-Apr-21,Rejected,3.5,309,NA,6,No,0,Yes,I,50,31,67,30-Jan-21
113,University of Texas Austin,MSIS,2021,16-Apr-21,Accepted,3.4,NA,93,8,No,0,No,I,50,31,67,30-Dec-20
114,University of Texas Austin,MSIS,2021,15-Apr-21,Accepted,3.3,NA,8,1,No,2,No,I,50,31,67,21-Jan-21
115,University of Texas Austin,MSIS,2021,16-Apr-21,Accepted,3.5,NA,NA,0,Yes,0,No,U,50,31,67,01-Feb-21
116,University of Texas Austin,MSIS,2021,13-Apr-21,Rejected,3,NA,103,1,Yes,0,No,I,50,31,67,
117,University of Texas Austin,MSIS,2021,15-Apr-21,Accepted,3.3,NA,105,2,No,0,No,I,50,31,67,
118,University of Texas Austin,MSIS,2021,15-Apr-21,Accepted,3.7,NA,NA,0,Yes,0,No,A,50,31,67,
119,University of Texas Austin,MSIS,2021,15-Apr-21,Accepted,3.6,NA,NA,0,No,0,Yes,A,50,31,67,
120,University of Texas Austin,MSIS,2021,13-Apr-21,Accepted,3.43,NA,NA,3,Yes,1,Yes,A,50,31,67,
121,University of Texas Austin,MSIS,2021,02-Apr-21,Accepted,3.3,NA,100,5,Yes,0,Yes,I,50,31,67,
122,University of Texas Austin,MSIS,2021,16-Apr-21,Accepted,3.6,301,105,2,No,0,Yes,I,50,31,67,
123,University of Texas Austin,MSIS,2021,26-Apr-21,Accepted,3.3,NA,102,0,Yes,0,Yes,I,50,31,67,
124,University of Texas Austin,MSIS,2021,15-Apr-21,Accepted,3.8,319,110,3,Yes,0,Yes,I,50,31,67,
125,University of Texas Austin,MSIS,2021,13-Apr-21,Rejected,3,317,98,4,No,0,No,I,50,31,67,
126,University of Texas Austin,MSIS,2021,31-Mar-21,Rejected,3.7,314,98,0.5,Yes,2,Yes,I,50,31,67,
127,University of Texas Austin,MSIS,2021,13-Apr-21,Rejected,3.7,313,110,0,No,0,No,I,50,31,67,
128,University of Texas Austin,MSIS,2020,22-Mar-20,Accepted,3.3,324,110,0,No,0,No,I,50,31,67,
